Date,EURUSD.close,USDJPY.close,GBPUSD.close,AUDUSD.close,USDCAD.close,NZDUSD.close,USDCHF.close,USDNOK.close,USDSEK.close
1989-01-04,,125.05,1.807,0.8698,1.1921,0.6365,1.5188,6.581,6.16
1989-01-05,,125.59,1.797,0.8679,1.1895,0.638,1.531,6.593,6.18
1989-01-06,,126.62,1.78,0.8625,1.1952,0.6365,1.549,6.645,6.23
1989-01-09,,126.45,1.7636,0.8637,1.197,0.635,1.5575,6.678,6.264
1989-01-10,,126.3,1.7637,0.8664,1.2009,0.631,1.5645,6.689,6.275
1989-01-11,,126.13,1.781,0.8629,1.2008,0.632,1.5552,6.655,6.25
1989-01-12,,126.17,1.784,0.8673,1.1967,0.632,1.5562,6.655,6.25
1989-01-13,,126.7,1.7787,0.8665,1.1988,0.63,1.5627,6.671,6.2695
1989-01-17,,127.75,1.768,0.8579,1.198,0.6255,1.5765,6.727,6.312
1989-01-18,,128.5,1.7545,0.8622,1.194,0.6252,1.5903,6.775,6.3525
1989-01-19,,129.7,1.75,0.8667,1.1895,0.6278,1.591,6.7705,6.347
1989-01-20,,128.27,1.7685,0.872,1.1879,0.63,1.5685,6.7025,6.294
1989-01-23,,127.8,1.774,0.8782,1.1885,0.6225,1.5575,6.683,6.2775
1989-01-24,,127.65,1.7677,0.8808,1.187,0.6117,1.561,6.6875,6.285
1989-01-25,,127.73,1.771,0.876,1.1857,0.6065,1.568,6.688,6.2915
1989-01-26,,128.15,1.7735,0.8781,1.1823,0.6109,1.5677,6.69,6.291
1989-01-27,,129.24,1.758,0.8745,1.1877,0.608,1.5865,6.73,6.334
1989-01-30,,129.35,1.7618,0.8817,1.181,0.6068,1.5792,6.724,6.331
1989-01-31,,130.5,1.75,0.8874,1.1835,0.6015,1.5997,6.7645,6.36
1989-02-01,,129.6,1.7535,0.8885,1.1894,0.6083,1.584,6.75,6.34
1989-02-02,,129.15,1.7508,0.8905,1.1881,0.6055,1.5855,6.77,6.353
1989-02-03,,129.65,1.7415,0.8767,1.1858,0.614,1.5975,6.795,6.383
1989-02-06,,129.65,1.7327,0.8815,1.1832,0.6123,1.5965,6.791,6.382
1989-02-07,,129.29,1.7425,0.8874,1.1822,0.6132,1.5865,6.755,6.347
1989-02-08,,129.6,1.7433,0.8915,1.185,0.615,1.591,6.78,6.37
1989-02-09,,128.58,1.7548,0.888,1.184,0.6124,1.5795,6.733,6.33
1989-02-10,,128.49,1.7543,0.8855,1.186,0.6175,1.5825,6.731,6.3325
1989-02-13,,128.4,1.7495,0.8874,1.1865,0.6175,1.5895,6.753,6.353
1989-02-14,,126.73,1.7685,0.8838,1.184,0.6207,1.57,6.705,6.305
1989-02-15,,126.4,1.7733,0.8731,1.1805,0.617,1.5635,6.69,6.293
1989-02-16,,126.32,1.7708,0.8375,1.186,0.6142,1.5642,6.696,6.307
1989-02-17,,125.9,1.776,0.823,1.1895,0.616,1.56,6.681,6.295
1989-02-21,,126.75,1.7502,0.8103,1.1899,0.6138,1.569,6.705,6.321
1989-02-22,,126.58,1.7505,0.8203,1.1958,0.614,1.5685,6.69,6.3005
1989-02-23,,126.2,1.76,0.8275,1.1958,0.6265,1.554,6.675,6.28
1989-02-24,,126.32,1.753,0.8237,1.1987,0.6248,1.557,6.685,6.285
1989-02-27,,126.53,1.7448,0.7965,1.2035,0.6245,1.5525,6.689,6.288
1989-02-28,,126.87,1.744,0.7988,1.199,0.6223,1.5549,6.709,6.287
1989-03-01,,128.1,1.724,0.8036,1.1997,0.619,1.5685,6.739,6.325
1989-03-02,,127.88,1.7238,0.804,1.1935,0.6188,1.5747,6.742,6.336
1989-03-03,,127.7,1.723,0.8128,1.196,0.6175,1.5747,6.736,6.331
1989-03-06,,128.85,1.722,0.8138,1.1935,0.6133,1.584,6.7625,6.359
1989-03-07,,128.74,1.7217,0.8087,1.1987,0.6135,1.5835,6.763,6.351
1989-03-08,,128.7,1.7197,0.8133,1.2014,0.6128,1.586,6.77,6.361
1989-03-09,,129.05,1.7175,0.8181,1.201,0.6145,1.59,6.79,6.375
1989-03-10,,129.5,1.7155,0.8216,1.1988,0.6167,1.592,6.794,6.383
1989-03-13,,129.88,1.7115,0.8219,1.1982,0.615,1.5975,6.803,6.398
1989-03-14,,129.68,1.7272,0.8113,1.1945,0.6132,1.5902,6.785,6.382
1989-03-15,,130.6,1.719,0.8053,1.1949,0.6117,1.609,6.815,6.406
1989-03-16,,131.22,1.7179,0.8185,1.1965,0.6144,1.6115,6.82,6.414
1989-03-17,,131.6,1.713,0.8213,1.197,0.6147,1.618,6.815,6.4035
1989-03-20,,131.7,1.7103,0.8239,1.1946,0.6142,1.6155,6.823,6.414
1989-03-21,,131.28,1.72,0.822,1.1922,0.615,1.622,6.81,6.392
1989-03-22,,131.15,1.7228,0.8208,1.1898,0.6148,1.623,6.797,6.384
1989-03-23,,131.2,1.7218,0.8276,1.1895,0.619,1.6255,6.802,6.387
1989-03-24,,131.5,1.719,0.827,1.192,0.6185,1.6285,6.8105,6.395
1989-03-27,,132.7,1.71,0.8235,1.1935,0.617,1.6415,6.84,6.428
1989-03-28,,133.08,1.688,0.816,1.1949,0.6175,1.653,6.89,6.47
1989-03-29,,132.83,1.6886,0.8173,1.1953,0.6157,1.6445,6.868,6.4455
1989-03-30,,132.95,1.6875,0.8173,1.1945,0.615,1.6585,6.8705,6.462
1989-03-31,,132.77,1.6852,0.819,1.1936,0.6141,1.6625,6.89,6.443
1989-04-03,,132.05,1.686,0.825,1.1899,0.6142,1.6495,6.83,6.4
1989-04-04,,130.9,1.7068,0.8221,1.1875,0.616,1.6322,6.795,6.375
1989-04-05,,131.8,1.6997,0.7982,1.1899,0.6112,1.642,6.805,6.365
1989-04-06,,131.93,1.704,0.8068,1.1941,0.606,1.6395,6.795,6.369
1989-04-07,,132.45,1.697,0.8057,1.193,0.6095,1.649,6.8295,6.405
1989-04-10,,132.63,1.6975,0.8068,1.1902,0.6077,1.6563,6.83,6.406
1989-04-11,,132.75,1.689,0.807,1.1895,0.6077,1.665,6.85,6.42
1989-04-12,,132.98,1.6905,0.8071,1.189,0.6095,1.6675,6.8415,6.4165
1989-04-13,,132.2,1.6975,0.8065,1.1883,0.6095,1.647,6.8125,6.385
1989-04-14,,132.15,1.6988,0.8094,1.1876,0.6105,1.65,6.805,6.378
1989-04-17,,131.95,1.716,0.8128,1.1853,0.6125,1.6363,6.758,6.332
1989-04-18,,131.52,1.718,0.8001,1.1847,0.6123,1.6285,6.745,6.326
1989-04-19,,132.34,1.71,0.8001,1.187,0.611,1.636,6.767,6.345
1989-04-20,,131.35,1.717,0.802,1.1845,0.6122,1.6277,6.725,6.3105
1989-04-21,,131.45,1.714,0.795,1.1865,0.613,1.633,6.733,6.31
1989-04-24,,131.6,1.7049,0.7913,1.189,0.6133,1.643,6.763,6.3365
1989-04-25,,131.39,1.701,0.7921,1.189,0.6125,1.6442,6.781,6.356
1989-04-26,,132.25,1.6885,0.7936,1.1902,0.615,1.6582,6.818,6.383
1989-04-27,,132.19,1.6905,0.7945,1.1935,0.6147,1.6588,6.814,6.372
1989-04-28,,132.85,1.689,0.794,1.1865,0.6152,1.6735,6.831,6.388
